,topic,tweet_volume
0,#ENHYPEN,1516862
1,Oscar,1078483
2,Butter,792686
3,Spotify,757300
4,bighit,213506
5,The EU,129197
6,Boris Johnson,118913
7,Bangtan,117547
8,Apple Music,116472
9,Henry,114794
10,Iran,93273
11,Prime Minister,87386
12,Hunt,32568
13,Daily Mail,31448
14,Shearer,30350
15,noelle,27217
16,West Side Story,26273
17,Terry,25082
18,Daniel Ek,20415
19,Gove,20174
20,Murdoch,13183
21,Tariq,12511
22,Rooney,11219
23,Peston,10649
24,Bailly,10398
25,Ratchet & Clank,10068
26,Downing St,
27,Rawe Ceek,
28,GCSE,
29,Lindelof,
30,#ASongOrMovieForAustralians,
31,#ToryLies,
32,#MondayVibes,
33,Sunak,
34,#MondayMood,
35,Global Britain,
36,Raab,
37,sarah vine,
38,Simon Case,
39,Foreign Secretary,
40,Magna Carta,
41,Cabinet Secretary,
42,Balogun,
43,Yes Minister,
44,Scholes,
45,Lampard,
46,Giggs,
47,Gerrard,
48,Drowning Pool,
49,Abrdn,
