,topic,tweet_volume
0,#Oscars,1938881
1,#BORDER_CARNIVAL,880946
2,Comeback,769579
3,#Drunk_Dazed,401461
4,HYBE,308704
5,#BTS_Butter,222677
6,QUE ES ESTO,180821
7,WHAT'S MELTING,154544
8,#DrunkDazedIsOutNow,99969
9,#BorderCarnival_IsOutNow,99102
10,hanbin,85820
11,#ITZY,64571
12,ASMR,62931
13,McDonald,60610
14,#LesbianVisibilityDay,60482
15,#DueloSurvivor,51163
16,BANGTANTV,46863
17,Mantequilla,37034
18,Lunes 26,29428
19,SOTY,27983
20,#FelizLunes,25554
21,Saúl Huerta,24894
22,BTS IS COMING,20638
23,#Chernobyl,15362
24,MENTIROSA,10579
25,#FelizInicioDeSemana,
26,Clara Luz,
27,NXIVM,
28,iOS 14.5,
29,BLINKS CRAZY OVER OYE,
30,Keith Raniere,
31,k y ej,
32,Clarita,
33,Ley Zaldívar,
34,#BuenLunes,
35,#JosEnExa,
36,#tiokorno,
37,#OtroDíaOtroPoderoso,
38,#MePoneDeBuenas,
39,#DiadelaVisibilidadLesbica,
40,#ConferenciaPresidente,
41,#EdoméxEnSemáforoAmarillo,
42,#LaMañanera,
43,#EstaSemanaYo,
44,#volverteaenamorarenoye,
45,#LunesDeMotivacion,
46,#BuenosDiasATodos,
47,#CrazyOverYouEnOye,
48,#HoyDeclaróQue,
49,#EnPortada,
