,topic,tweet_volume
0,#Oscars,1956938
1,Butter,1766836
2,#ENHYPEN,1604889
3,#BORDER_CARNIVAL,890093
4,#Drunk_Dazed,423742
5,Bangtan,135753
6,BTS IS COMING,100168
7,YouTube TV,95888
8,Scorpio,73359
9,McCarthy,52741
10,Dodgers,52476
11,Lance,48863
12,BILLIE,43352
13,Fields,42019
14,allkpop,31082
15,Rubio,24349
16,Roku,23294
17,Texas and Florida,20859
18,kwon mina,19764
19,49ers,16057
20,Arenas,15212
21,Tariq,14250
22,Native American,11481
23,Many Americans,11310
24,Tim Ryan,11255
25,Rift Apart,10377
26,Shanahan,
27,Lynch,
28,Niners,
29,#earthquake,
30,Rick Santorum,
31,Dr. Umar,
32,Julio Jones,
33,yeezy slides,
34,Carol Burnett,
35,Birth of a Nation,
36,Second Amendment,
37,Rivet,
38,Elizabeth City,
39,Andrew Shaw,
40,Falcons,
41,Plymouth Middle School,
42,tjarks,
43,Doug Collins,
44,Sam Johnson,
45,Tyrese,
46,Joseline,
47,Iroquois Confederacy,
48,The Noid,
49,La Perla,
