,topic,tweet_volume
0,#Oscars,1938881
1,#BORDER_CARNIVAL,880946
2,Comeback,771646
3,#Drunk_Dazed,401856
4,HYBE,308458
5,JAKE,254679
6,#BTS_Butter,222677
7,QUE ES ESTO,180821
8,WHAT'S MELTING,154544
9,#DrunkDazedIsOutNow,99969
10,#BorderCarnival_IsOutNow,99072
11,hanbin,85722
12,#ITZY,63603
13,ASMR,62931
14,McDonald,60610
15,#LesbianVisibilityDay,60188
16,#DueloSurvivor,51163
17,BANGTANTV,46863
18,Mantequilla,37034
19,Lunes 26,29428
20,SOTY,27983
21,#FelizLunes,25630
22,Saúl Huerta,24909
23,BTS IS COMING,20638
24,#Chernobyl,15335
25,MENTIROSA,10579
26,#FelizInicioDeSemana,
27,Clara Luz,
28,NXIVM,
29,iOS 14.5,
30,Keith Raniere,
31,BLINKS CRAZY OVER OYE,
32,Clarita,
33,k y ej,
34,Ley Zaldívar,
35,#BuenLunes,
36,#JosEnExa,
37,#tiokorno,
38,#OtroDíaOtroPoderoso,
39,#meponedebuenas,
40,#DiadelaVisibilidadLesbica,
41,#ConferenciaPresidente,
42,#LaMañanera,
43,#EdoméxEnSemáforoAmarillo,
44,#EstaSemanaYo,
45,#volverteaenamorarenoye,
46,#LunesDeMotivacion,
47,#BuenosDiasATodos,
48,#CrazyOverYouEnOye,
49,#HoyDeclaróQue,
