,topic,tweet_volume
0,Oscar,1079037
1,Butter,792686
2,Spotify,757300
3,bighit,213506
4,Boris Johnson,119053
5,Bangtan,117547
6,Apple Music,116889
7,Henry,114794
8,Iran,93412
9,Prime Minister,87386
10,#LesbianVisibilityDay,60188
11,Drake,43568
12,Hall of Fame,33561
13,Daily Mail,31448
14,Shearer,30374
15,Vieira,28273
16,skins,26375
17,Nagelsmann,22446
18,Bergkamp,21487
19,Daniel Ek,20429
20,Gove,20174
21,Varane,12654
22,Tariq,12511
23,Rooney,11219
24,Peston,10609
25,Bailly,10398
26,Ratchet & Clank,10068
27,Simon Case,
28,#BodiesPiledHigh,
29,#FreeNazanin,
30,#TennisInSongOrFilm,
31,Foreign Secretary,
32,Magna Carta,
33,Cabinet Secretary,
34,Balogun,
35,Yes Minister,
36,Scholes,
37,Lampard,
38,Giggs,
39,Gerrard,
40,Drowning Pool,
41,Abrdn,
42,Primark,
43,Flamini,
44,ecce romani,
45,Gareth Barry,
46,Phil Jones,
47,Civil Service,
48,Nadine,
49,,
