,topic,tweet_volume
0,Oscars,2515253
1,Butter,1659498
2,NEW SINGLE,208367
3,Bangtan,132830
4,sehun,109410
5,#MondayMotivation,104930
6,YouTube TV,94952
7,BTS IS COMING,91926
8,#LesbianVisibilityDay,76070
9,Don Gato,65418
10,Good Monday,47057
11,Fields,41277
12,Auron,28021
13,Rubio,23678
14,Roku,22845
15,Texas and Florida,20450
16,49ers,15696
17,Arenas,14471
18,kwon mina,13825
19,Tariq,13711
20,#MondayMorning,13518
21,Draft Week,11842
22,Many Americans,10854
23,Tim Ryan,10688
24,Native American,10338
25,Rick Santorum,
26,Dr. Umar,
27,#AlienDay,
28,#whatsmelting,
29,yeezy slides,
30,Julio Jones,
31,Carol Burnett,
32,Rivet,
33,Andrew Shaw,
34,Second Amendment,
35,Rift Apart,
36,Falcons,
37,Elizabeth City,
38,Plymouth Middle School,
39,Birth of a Nation,
40,Tyrese,
41,Sam Johnson,
42,Tjarks,
43,Doug Collins,
44,Joseline,
45,VALKYRIE ROCK VERSION,
46,Iroquois Confederacy,
47,La Perla,
48,The Noid,
49,Shawzy,
