,topic,tweet_volume
0,Butter,1654782
1,Dynamite,949404
2,Comeback,821465
3,namjoon,358422
4,HYBE,330071
5,NEW SINGLE,208367
6,WHAT'S MELTING,176202
7,Bangtan,132830
8,SSR Killed By Strangulation,120325
9,#Every27thWithLOEY,112151
10,sehun,109410
11,Irene,73608
12,Please Donate,72914
13,Donated,69483
14,ASMR,67070
15,Jordan,66556
16,McDonald,65570
17,चुनाव आयोग,48127
18,The Australian,39868
19,#End_Casteism_In_IIT,38414
20,Betty,33217
21,#RealStory_Of_Hanumanji,25739
22,Armed Forces,23586
23,#FailedPMModi,21166
24,BCCI,17080
25,#PBKSvKKR,15181
26,Patty,14471
27,CRED,13414
28,Thanks Pat,11403
29,SSRians Help In Covid Crisis,10627
30,NGOs,10375
31,#RemoveKejriVirus,
32,bookone show crorepati,
33,Dusk Blue,
34,Amul,
35,IIT Kharagpur,
36,Huge Respect,
37,EAT JIN,
38,Madras HC,
39,Naxals,
40,IITs,
41,Andrew Tye,
42,Great Gesture,
43,Niti Aayog,
44,Favourite Moment,
45,Indian Cricketers,
46,CROREPATI OFFER,
47,#StopPlasticPollution,
48,#ByeByeEthene,
49,,
