,topic_Middlesbrough,tweet_volume_Middlesbrough
0,#ENHYPEN,1516862
1,Oscar,1078483
2,Butter,792686
3,Spotify,757300
4,bighit,213506
5,The EU,129197
6,Boris Johnson,118913
7,Bangtan,117547
8,Apple Music,116472
9,Henry,114794
10,Iran,93412
11,Prime Minister,87386
12,Hunt,32568
13,Daily Mail,31448
14,Shearer,30374
15,noelle,27247
16,West Side Story,26273
17,Terry,25128
18,Daniel Ek,20415
19,Gove,20174
20,Murdoch,13183
21,Tariq,12536
22,Rooney,11219
23,Peston,10609
24,Bailly,10398
25,Ratchet & Clank,10068
26,Downing St,
27,RAWE CEEK,
28,GCSE,
29,Lindelof,
30,#ToryLies,
31,#ASongOrMovieForAustralians,
32,#MondayVibes,
33,sunak,
34,Global Britain,
35,Raab,
36,sarah vine,
37,Simon Case,
38,Foreign Secretary,
39,Magna Carta,
40,Cabinet Secretary,
41,Balogun,
42,Yes Minister,
43,Scholes,
44,Lampard,
45,Giggs,
46,Gerrard,
47,Drowning Pool,
48,Abrdn,
49,,
