,topic,tweet_volume
0,Butter,1507581
1,THAT'S IT,1409425
2,Dynamite,961737
3,HYBE,329941
4,bighit,253424
5,haechan,220653
6,NEW SINGLE,192733
7,WHAT'S MELTING,172635
8,CHENLE,156722
9,Bangtan,133126
10,#CHANYEOL,109431
11,sehun,97909
12,NEW ALBUM,96394
13,#Every27thWithLOEY,95282
14,Cooking,91013
15,BTS IS COMING,78059
16,BTS COMEBACK,76572
17,Irene,73465
18,#BoringJalapeño_Day2,71804
19,BTSARMY RUN FOR BTS,68632
20,ASMR,67196
21,DEIB AND MAXPEIN,64867
22,K and EJ,56080
23,WHAT'S HAPPENING,50164
24,jihyo,42846
25,#GuessWho_MVTeaser1,35457
26,ITZY IS DIFFERENT,34556
27,meet ceo heart,26274
28,#weloveTHE8,23149
29,mondate with ellaizyl,22591
30,just in with kodrea,21922
31,Na Jaemin,21854
32,KAORHYS INTO TOCHIKO,19560
33,Lele,18733
34,BEST BOY MINGHAO,14458
35,CHIMANDA FOR VERSUS,14071
36,2min,12276
37,SAVE THE DATE,11237
38,ralphgail 4 crismar ls,10603
39,SeChan,10054
40,AKIng Kaarawan NaBukas,
41,STREAM BOY ON YOUTUBE,
42,P'Tay,
43,YUN NA YON,
44,SUMMER PACKAGE,
45,EAT JIN,
46,franzeya 2ndmonthsary,
47,Gordon Ramsay,
48,LEE DONGHYUCK,
49,Lost Stars,
