,topic,tweet_volume
0,#SemanaFlexible,462913
1,#BTS_Butter,262561
2,El Covid-19,178320
3,Óscar 2021,161820
4,Bioseguridad,159824
5,Amén,150577
6,Perú,142740
7,PSOE,120026
8,#26Abr,106478
9,El 26,103514
10,Chelsea,72402
11,Victor,63021
12,McDonald,62100
13,Ecuador,50372
14,Omar,47521
15,Bendecido,43083
16,Bendiciones,41060
17,Apure,40124
18,Presidente Maduro,29330
19,#FelizLunes,26042
20,Asamblea,22358
21,#GNByPuebloVenciendo,17855
22,Diplomático,13955
23,Vamos a 7,13874
24,Navalny,13694
25,Trinidad,13372
26,Varane,12792
27,Delta Amacuro,12065
28,Tucupita,10491
29,Juan Pablo Pernalete,
30,Día Internacional del Humor,
31,Yulimar Rojas,
32,Eliézer Otaiza,
33,Raúl Leoni,
34,Sara y Sofía Oviedo,
35,UNEFA,
36,The Washington Post,
37,Chernóbil,
38,Urbanización,
39,Eduardo Rodríguez,
40,Saime,
41,Táchira y Bolívar,
42,Elvis Amoroso,
43,porlamar,
44,Cddno,
45,Caribe,
46,Jamaica,
47,María Carolina Santana,
48,andrés eloy blanco,
49,AMADO DIOS,
