,topic,tweet_volume
0,Butter,1654782
1,Dynamite,949404
2,Comeback,821465
3,namjoon,358422
4,HYBE,330071
5,NEW SINGLE,207512
6,WHAT'S MELTING,176202
7,Bangtan,132830
8,SSR Killed By Strangulation,120297
9,#Every27thWithLOEY,112151
10,sehun,109410
11,#SeetiMaar,80452
12,irene,73608
13,please donate,72914
14,Donated,69483
15,ASMR,67070
16,Jordan,66609
17,McDonald,65642
18,#StayStrongIndia,55233
19,चुनाव आयोग,48171
20,The Australian,39868
21,#End_Casteism_In_IIT,38414
22,Betty,33217
23,#RealStory_Of_Hanumanji,25947
24,#ModiHaiTohMumkinHai,24469
25,Armed Forces,23586
26,#FailedPMModi,21062
27,BCCI,17098
28,#PBKSvKKR,15181
29,Patty,14471
30,CRED,13414
31,Thanks Pat,11403
32,SSRians Help In Covid Crisis,10627
33,NGOs,10375
34,bookone show crorepati,
35,Dusk Blue,
36,Amul,
37,IIT Kharagpur,
38,Huge Respect,
39,EAT JIN,
40,Madras HC,
41,Naxals,
42,IITs,
43,Andrew Tye,
44,Great Gesture,
45,Niti Aayog,
46,Favourite Moment,
47,Indian Cricketers,
48,CROREPATI OFFER,
49,#RemoveKejriVirus,
