,topic_Querétaro,tweet_volume_Querétaro
0,#Oscars,1939292
1,#BORDER_CARNIVAL,880946
2,Comeback,769579
3,#Drunk_Dazed,401461
4,HYBE,308704
5,JAKE,253610
6,#BTS_Butter,222677
7,QUE ES ESTO,180821
8,WHAT'S MELTING,153631
9,#DrunkDazedIsOutNow,99969
10,#BorderCarnival_IsOutNow,99102
11,hanbin,85722
12,#ITZY,63603
13,ASMR,62931
14,McDonald,60610
15,#LesbianVisibilityDay,60482
16,BANGTANTV,46863
17,Mantequilla,37034
18,Lunes 26,29463
19,SOTY,27737
20,#FelizLunes,25630
21,Saúl Huerta,24909
22,BTS IS COMING,20638
23,#Chernobyl,15335
24,MENTIROSA,10579
25,#FelizInicioDeSemana,
26,#BuenLunes,
27,Clara Luz,
28,NXIVM,
29,iOS 14.5,
30,Keith Raniere,
31,BLINKS CRAZY OVER OYE,
32,Clarita,
33,k y ej,
34,Ley Zaldívar,
35,#JosEnExa,
36,#tiokorno,
37,#OtroDíaOtroPoderoso,
38,#MePoneDeBuenas,
39,#DiadelaVisibilidadLesbica,
40,#LaMañanera,
41,#EdoméxEnSemáforoAmarillo,
42,#ConferenciaPresidente,
43,#EstaSemanaYo,
44,#volverteaenamorarenoye,
45,#LunesDeMotivacion,
46,#BuenosDiasATodos,
47,#CrazyOverYouEnOye,
48,#HoyDeclaróQue,
49,#CuidemosTodosDeTodos,
