,topic,tweet_volume
0,#BTS_Butter,851892.0
1,Kerry,231618.0
2,Tucker Carlson,174955.0
3,Real Madrid,162759.0
4,billie,124160.0
5,Fox News,122944.0
6,NFTs,109671.0
7,Flowers,87833.0
8,The CDC,65932.0
9,Fields,60163.0
10,Chase,57456.0
11,Willow,57005.0
12,Sega,43004.0
13,Marcelo,41679.0
14,Mario Party,20753.0
15,New CDC,19334.0
16,Rose McGowan,18621.0
17,aaron taylor johnson,18307.0
18,PERCY JACKSON,16587.0
19,#MichaelJacksonWasFramed,15781.0
20,SNKRS,14605.0
21,Pulisic,13274.0
22,Babe Ruth,12878.0
23,Joe Rogan,10567.0
24,Dolphins,10073.0
25,Pitts,
26,Najee,
27,Slater,
28,Geno Hayes,
29,Waddle,
30,#WhyImSingle,
31,Real ID,
32,#YIAYgame,
33,Steve Harvey,
34,Lightning McQueen crocs,
35,Fear Factor,
36,James Carville,
37,Chris Simms,
38,annabeth,
39,Azpi,
40,Nick Fuentes,
41,Miitopia,
42,Newsradio,
43,Flintstones,
44,logan lerman,
45,Victor Hill,
46,Thanks CDC,
47,Pioneer League,
48,Sewell,
