,topic,tweet_volume
0,#방탄소년단,907532.0
1,#BTS_Butter,851512.0
2,Chelsea,213904.0
3,billie,116713.0
4,wonpil,105730.0
5,Happier Than Ever,86142.0
6,Renan Calheiros,81886.0
7,CPI da Covid,81435.0
8,Senado,78657.0
9,Anvisa,76391.0
10,EU FUI,62141.0
11,shawn,51456.0
12,SARINHA NO MAIS VOCE,49114.0
13,Willow,48457.0
14,Circo,27399.0
15,#PachecoTchutchucaDoSTF,26431.0
16,Guedes,24627.0
17,Guardiola,22933.0
18,Madison,21211.0
19,Essa CPI,21157.0
20,Camille,16811.0
21,Euliette,16809.0
22,Flávio Bolsonaro,16519.0
23,Antalya,16143.0
24,Furia,14756.0
25,aaron taylor johnson,14522.0
26,Veneza,14057.0
27,draco,12723.0
28,Breaking Bad,10767.0
29,Camila de Lucas,10262.0
30,Mercado Livre,10012.0
31,#GabiDay,
32,ENTÃO FAZ O L,
33,Omar Aziz,
34,RITA CASTILLO,
35,#CPIdaPandemia,
36,Xerath,
37,AMOR DA MINHA VIDA NO SPOTIFY,
38,COLDPLAY IS COMING,
39,OMBRO,
40,HAPPY BDAY NEIRU,
41,Ciro Nogueira,
42,ROT IS COMING,
43,Randolfe,
44,Lucian,
45,ELES NAMORAM,
46,Ivo Meirelles,
47,LZINN MELHOR DO MUNDO,
48,Beijo 3,
49,tikki,
