,topic,tweet_volume
0,renjun,232951.0
1,Chelsea,213904.0
2,Tucker,211409.0
3,Wonpil,106257.0
4,Charles,73107.0
5,Ethereum,61809.0
6,Billie Eilish,58828.0
7,Angela,57986.0
8,Julia,55613.0
9,shawn,51456.0
10,Luke,44015.0
11,Portugal,42082.0
12,Paket,20082.0
13,Mario Party,19271.0
14,Camille,16811.0
15,Rebecca,14475.0
16,Inzidenz,10177.0
17,#Nagelsmann,
18,#dasperfektedinner,
19,#FirstDates,
20,#FCNKSV,
21,#Verfassungsbeschwerde,
22,softeis,
23,Christoph,
24,Kardinal Marx,
25,Öffnen,
26,Schönen Abend,
27,Reinheitsgebot,
28,Thermomix,
29,Beamten,
30,Schönen Feierabend,
31,Polizist,
32,Strand,
33,Aneignung,
34,Grauen Wölfe,
35,Teller,
36,BVerfG,
37,Abgeordneten,
38,Emotes,
39,Comic Sans,
40,finanzminister,
41,Aktien,
42,Glasner,
43,Verfassungsklage,
44,Pfefferspray,
45,pfirsich,
46,Industrienation,
47,Thorsten,
48,Für Menschen,
49,Grundschulen,
