,topic,tweet_volume
0,#BTS_Butter,851892.0
1,Kerry,231618.0
2,Tucker Carlson,174778.0
3,Real Madrid,162104.0
4,billie,124160.0
5,Fox News,123125.0
6,NFTs,109671.0
7,Flowers,87727.0
8,The CDC,66204.0
9,Fields,60163.0
10,Chase,57414.0
11,Willow,57005.0
12,Sega,43004.0
13,Marcelo,41779.0
14,Mario Party,20766.0
15,New CDC,19242.0
16,Rose McGowan,18636.0
17,aaron taylor johnson,18307.0
18,PERCY JACKSON,16587.0
19,#MichaelJacksonWasFramed,15835.0
20,SNKRS,14605.0
21,Pulisic,13239.0
22,Babe Ruth,12895.0
23,Joe Rogan,10567.0
24,Dolphins,10073.0
25,Pitts,
26,Najee,
27,Slater,
28,Geno Hayes,
29,Waddle,
30,#WhyImSingle,
31,Real ID,
32,#YIAYgame,
33,Steve Harvey,
34,Lightning McQueen crocs,
35,Fear Factor,
36,James Carville,
37,Chris Simms,
38,annabeth,
39,Azpi,
40,Nick Fuentes,
41,Miitopia,
42,NewsRadio,
43,Flintstones,
44,Victor Hill,
45,Pioneer League,
46,logan lerman,
47,Thanks CDC,
48,Sewell,
