,topic,tweet_volume
0,#AbrazaLaVida,880442.0
1,El Gobierno,393231.0
2,Chelsea,213904.0
3,#27Abr,184957.0
4,Feliz Día,157410.0
5,Bayern,114855.0
6,Top 5,88804.0
7,Apure,69402.0
8,Nagelsmann,68027.0
9,Neymar,65223.0
10,Diálogo,61839.0
11,Burkina Faso,51141.0
12,Dr. José Gregorio Hernández,39350.0
13,Hazard,38806.0
14,Marcelo,36883.0
15,DDHH,36122.0
16,#GNBCuidaDeTiyTuFamilia,32297.0
17,Coqui,32083.0
18,Bundesliga,29961.0
19,Maestro,25721.0
20,Vladimir,20585.0
21,Alemania,18489.0
22,Douglas Rico,15590.0
23,#LiberenAOrlandoMoreno,14098.0
24,Cota 905,12827.0
25,Willie,11951.0
26,CICPC,11700.0
27,Don Omar,
28,#RafaelSimonALa1,
29,Andrés Stambouli,
30,Diseñador Gráfico,
31,Antonio Gramsci,
32,Banco del Tesoro,
33,Caramelos de Cianuro,
34,Essential Quality,
35,Zapatero,
36,Coliflor,
37,Óscar Pérez,
38,Madre Candelaria de San José,
39,internacional de porto alegre,
40,Noruega,
41,Día del Código Morse,
42,trinidad y venezuela,
43,Simonovis,
44,Ciudades Comunales,
45,Sudáfrica,
46,Liga de Campeones,
47,Iniesta,
48,Jorge Rodríguez,
49,Panteón Nacional,
