,topic,tweet_volume
0,#방탄소년단,908246.0
1,#BTS_Butter,852393.0
2,Johnson,303906.0
3,Maria,234846.0
4,Cuba,131285.0
5,billie,116932.0
6,Bayern,114855.0
7,shawn,51456.0
8,Burkina Faso,51141.0
9,#Amici20,47894.0
10,Sonia,46641.0
11,Giulia,40047.0
12,Lola,36652.0
13,Serena,17032.0
14,Antalya,16240.0
15,#HanKer,15117.0
16,Aaron Taylor,14825.0
17,Salvini,11902.0
18,Gramsci,11883.0
19,#cinevarianteindiana,
20,Samuele,
21,Jerry Calà,
22,Gange,
23,Pettinelli,
24,Biagio,
25,Hallelujah,
26,Peter Neumair,
27,Senato,
28,Benno,
29,Armanda,
30,Dosi,
31,Sangio,
32,BALLERINI,
33,ridere,
34,5mila,
35,Lino Banfi,
36,Lombardia,
37,Niccolò,
38,Agnese,
39,Deddy,
40,Cosimo,
41,Grillo,
42,San Marino,
43,can divit,
44,Gipi,
45,Sikh,
46,Katy Perry,
47,Fratelli,
48,Dagospia,
49,Terni,
