,topic,tweet_volume
0,#방탄소년단,918284.0
1,#BTS_Butter,843627.0
2,Tucker Carlson,172194.0
3,Real Madrid,152903.0
4,billie,121677.0
5,Fox News,119862.0
6,wonpil,112019.0
7,Nintendo,96369.0
8,Flowers,86636.0
9,Bears,65480.0
10,The CDC,61051.0
11,Fields,59256.0
12,Willow,54449.0
13,Sega,42288.0
14,Marcelo,40461.0
15,Mario Party,20390.0
16,Rose McGowan,18227.0
17,New CDC,17850.0
18,aaron taylor johnson,17452.0
19,#MichaelJacksonWasFramed,14879.0
20,SNKRS,14468.0
21,Pulisic,12646.0
22,Babe Ruth,12527.0
23,Ryan Pace,
24,Joe Rogan,
25,#WhyImSingle,
26,#YIAYgame,
27,Real ID,
28,Steve Harvey,
29,Lightning McQueen crocs,
30,James Carville,
31,Fear Factor,
32,Chris Simms,
33,Azpi,
34,PERCY JACKSON,
35,Miitopia,
36,Nick Fuentes,
37,NewsRadio,
38,Sewell,
39,Victor Hill,
40,Flintstones,
41,Pioneer League,
42,Chelsea Green,
43,Thanks CDC,
44,Scherff,
45,Hank Aaron,
46,Xerath,
47,The Tyranny of Big Tech,
48,Known Agenda,
49,annabeth,
