,topic,tweet_volume
0,#BTS_Butter,829428.0
1,Madrid,521480.0
2,Tucker Carlson,176959.0
3,Fox News,123790.0
4,billie,122140.0
5,Flowers,85441.0
6,#RMACHE,77364.0
7,The CDC,69644.0
8,Protecting,61359.0
9,Willow,58838.0
10,Fields,57880.0
11,Sega,42854.0
12,Marcelo,41224.0
13,PERCY JACKSON,26831.0
14,Big Tech,21808.0
15,Mario Party,21001.0
16,New CDC,20414.0
17,Rose McGowan,18921.0
18,aaron taylor johnson,18916.0
19,#MichaelJacksonWasFramed,16679.0
20,Joe Rogan,14385.0
21,SNKRS,14360.0
22,Pulisic,13500.0
23,Babe Ruth,13067.0
24,Miitopia,10249.0
25,#WhyImSingle,
26,Real ID,
27,#YIAYgame,
28,Steve Harvey,
29,Fear Factor,
30,lightning mcqueen crocs,
31,James Carville,
32,annabeth,
33,Chris Simms,
34,NewsRadio,
35,logan lerman,
36,Azpi,
37,Nick Fuentes,
38,Flintstones,
39,Thanks CDC,
40,rick riordan,
41,Victor Hill,
42,Pioneer League,
43,Sewell,
44,Chelsea Green,
45,Scherff,
46,Bill Burr,
47,Tony Blair,
48,Xerath,
49,Hank Aaron,
